"id","profileName","text","date","title","rating","images","helpful","Colour","Size name"
"R1Y5BZ9SLOTNMA","Afzal Mohammad","So I'm a newbie for smart watches and I have searched everywhere for a good watch to begin with and finally found this one😇It's a good buy and helps me communicate on emergency calls in traffic and the voice through the watch is good for me..Calling and Receiving calls good.Notifications vibrate the watch need to click the side button to view it.Silenting the calls, stops ring in watch but you have to reach for the phone to mute it there.Sleep tracking gives good results, i can track the good sleep i have been through.It's good go for a first timmer like me✌️I'm not much of a smart watch guy but yeah I love it now.","Reviewed in India on 21 November 2022","Cool watch for first timers, a good buy",4,"https://m.media-amazon.com/images/I/71I1+7cBDjL.jpg",1,"Navy Blue","1.69"""
"R3AX9XRYWF4M0P","Amarnath","I feel this watch has good spot watch.It has number of sports options to get review ourselves while performing in the event. Overall the fire boltt is sport boltt.Other than the above there is an issue in the Amazon advertisement, they said this fire boltt smart watch has calculator option but it doesn't. I believe it the watch which i had brought from Amazon will have calculator is a big lie.","Reviewed in India on 14 November 2022","Amazon says it has calculator but actually there is no calculator in this watch as Amazon said.",4,"","11","Navy Blue","1.69"""
"R9PVSVIR04YGT","SK SHARIEF","Model was good2. Accurey was good3. Speaker was good4. Calling was good5. Built was good6. Brightness was goodCons.1. Battery was not like long lasting it's 3 to 4 days2. I had problem in face watches . In Da fit app it was showing some face watches . It's okay we have options to choose more face watches that is also cool. But we are downloading face watches in the app it show's downloaded but in app it was showing only 8 face watches.. It has storage of only 8 face watches.... I don't like that.. May be it will come in updates are not.. !!","Reviewed in India on 25 October 2022","Good Product",4,"","22","Black","1.69"""
"R14HIMB6WJNTHD","Siddharth Shah","Activities accuracy is not correct also it doesn't synch with Google fit except step other activities not synchronised","Reviewed in India on 23 November 2022","Don't buy for fitness accuracy...look wise feel wise good",4,"",0,"Navy Blue","1.69"""
"R1IJ6J7MYQBZ7G","Ashfaq","This watch is my first smart watchHappy to buy and After wearing looking good in hands","Reviewed in India on 17 November 2022","Good 👍",4,"",1,"Black","1.69"""
"RI6KQW32CM63S","Amay wade","The product is best quality is best look premium watch but no call silent feature plz update this overall watch is best","Reviewed in India on 11 November 2022","The watch is premium but silent mode is not available",4,"https://m.media-amazon.com/images/I/71YVMMWWwtL.jpg",0,"Black","1.69"""
"RRL9KFMRE65CG","Chaitanya","This product is good","Reviewed in India on 11 November 2022","Must",4,"",0,"Gold Black","1.69"""
"ROOC2C4K4516T","Hari prasath","All are good, but not bad. Silent mode is not in that. That is very disappointed.","Reviewed in India on 21 November 2022","Simply good",4,"https://m.media-amazon.com/images/I/71Am9f0yvvL.jpg",0,"Navy Blue","1.69"""
"R2IHF98S3PBYLN","Ankush","Product is a good mix of everything a smartwatch should have. Bluetooth calling works amazing. Has a bundle of sports mode so it's good for someone athletic and fitness enthusiast. The feature I like the most is AI assistant.","Reviewed in India on 10 November 2022","A good budget smartwatch",4,"",1,"Black","1.69"""
"RUH83JBX728I","Chirag","As a Indian customer start from cons🤭Heart sensor, Step count not working properly, screen wake up sensor available but not showing in settings...Mic,vibrating mode or speaker, screen nits are too good in this range..Bluetooth connection start after 8m away...but this is not a big issue, because we all are working in between 4-6m range.So keep Going for it👍Radhe Radhe🌻","Reviewed in India on 27 October 2022","Overall good product if purchase under 1800👍",4,"https://m.media-amazon.com/images/I/61CDIrdhb-L.jpg
https://m.media-amazon.com/images/I/716u60LsqYL.jpg
https://m.media-amazon.com/images/I/71S+Y9rX+vL.jpg","6","Black","1.69"""
"R3QKPVAGYWXLSP","Anu","Everything is perfect but no calculator as mentioned in specifications. Can upgrade the watch with calculator facility.","Reviewed in India on 20 November 2022","Great watch, great features.",4,"",0,"Black","1.69"""
"R1YZW0WDT0LSV5","Devid","Battery drain fast if you connect it to your phone and use calling features.","Reviewed in India on 23 November 2022","Good smartwatch",4,"",0,"Navy Blue","1.69"""
"R1A9DDZVGTVXT4","Akashdeep Sahay","The sound speaker was not good at all","Reviewed in India on 9 November 2022","Overall condition of the watch is pretty good but quality is compromised in so many situations",4,"",0,"Black","1.69"""
"RDO7CPXMEX9MY","Dinesh chandra","calling is nice option.. in this product","Reviewed in India on 10 November 2022","good product",4,"",0,"Black","1.69"""
"R3DWJR9B0CE3WJ","Esthoos","Can be use for daily activities","Reviewed in India on 14 November 2022","Value for money product",4,"",0,"Black","1.69"""
"R16779G9G32Z0B","Axar Enterprise","Sleep tracking, touch screen and accuracy, all things are working as expected.","Reviewed in India on 23 November 2022","Product is very good. First time I buyed the smartwatch and it was worth.",4,"https://m.media-amazon.com/images/I/81DACw1a9YL.jpg",0,"Grey","1.69"""
"R2LI6Z1KJZPARN","Himanshu Yadav","This is good looking with good battery backup and smooth touch screen","Reviewed in India on 23 November 2022","Nice watch",4,"https://m.media-amazon.com/images/I/61aGhO4i12L.jpg",0,"Navy Blue","1.69"""
"R2B3FFCW0W1WCC","madhuri vakacharla","Model was good2. Accurey was good3. Speaker was good4. Calling was good5.google asstiant was good.6. Built was good7. Brightness was good.8. Affordable price","Reviewed in India on 18 November 2022","Good Product",4,"","6","Pink","1.69"""
"R1Z3CR4GXXTSJT","Sanket","Sleep tracking is goodAccuracy is also almost goodBut average in battery backup","Reviewed in India on 11 November 2022","Value for money product",4,"https://m.media-amazon.com/images/I/51xh92POVML.jpg
https://m.media-amazon.com/images/I/61blhDIwKSL.jpg",0,"Black","1.69"""
"R10ZUMV2T07B11","Yk Chakradhar reddy","I used this for blutooth calling and notification","Reviewed in India on 11 November 2022","Good",4,"",0,"Black","1.69"""
"R2IWB7Z0LLXB0W","Alok Chauhan","Good product to have.","Reviewed in India on 15 November 2022","Fire bolt",4,"",0,"Navy Blue","1.69"""
"R3NCPIPAHCEUJY","Aji B","This item MRP is ₹17,999/- and I bought it for ₹1799/-. The watch is super good. But what makes the manufacturer think the production cost to be up to ₹17K is a myth!!!!. However most of the watch functions are similar to its competitors. The major drawback I found is battery drains more faster than others. Only lasts 2-3 days. For the price, quality, durability, looks can give ⭐️4/5","Reviewed in India on 9 November 2022","Worth for Money",4,"","9","Pink","1.69"""
"RYAM11HO550YP","Hublal Yadav","Ok ok","Reviewed in India on 12 November 2022","It is ok",4,"https://m.media-amazon.com/images/I/71iwwBMOsQL.jpg",0,"Black","1.69"""
"R25Q10GVFH2T96","Honey","Nice watch and good features","Reviewed in India on 15 November 2022","Nice watch",4,"https://m.media-amazon.com/images/I/81Vxheip0DL.jpg",0,"Black","1.69"""
"R13YNA80WJ63RP","Sunita","Nice product","Reviewed in India on 13 November 2022","Nice product",4,"",0,"Black","1.69"""
"R3SY3I2GGAOPWL","Rahul Jaiswar","The product quality is the best at reasonable price","Reviewed in India on 14 November 2022","You can change dp",4,"https://m.media-amazon.com/images/I/71irc5pXrSL.jpg",0,"Black","1.69"""
